GeoID,Date,City,Ward,Latitude,Longitude,Area_sq_km,Elevation_m,Land_Use,Green_Cover_Percentage,Road_Density_km_per_sq_km,Distance_to_City_Center_km,Zone,PINCode
527,2024-09-20, Bengaluru , CV Raman Nagar ,13.174610433275557,77.45839435621389,10.8,942,Residential,48.9,7.17,34.58,East,560037
453,2024-06-22, Bengaluru , West ,12.986751573361076,77.6141414386972,8.09,872,Residential,34.1,-2.52,-0.77,West,560034
400,2025-07-07,, East ,12.98455658020038,77.73112018862373,16.72,927,Residential,14.8,0.68,10.49,East,560078
706,2024-07-26, Bengaluru , East ,12.939577651813122,77.59474109706416,16.72,859,Industrial,8.0,5.67,35.73,East,560102
310,2024-12-17, Bengaluru , CV Raman Nagar ,13.185922176311037,77.7935790627407,12.69,934,Institutional,47.4,2.72,15.62,East,560064
153,2024-12-05, Bengaluru , Dasarahalli ,12.888080870552269,77.62110671203477,5.82,932,,40.4,8.3,37.09,West,560064
496,2025-02-19, Bengaluru , Dasarahalli ,13.01234235783421,77.46490298133776,9.33,973,Mixed Use,21.2,9.29,12.88,West,560048
274,2024-11-09, Bengaluru , East ,12.881197959577378,77.4671763916594,5.15,912,Commercial,48.2,9.93,34.15,East,560102
684,2025-01-22, Bengaluru , North ,13.052251914487657,77.70545812659445,2.71,906,Commercial,33.1,9.89,22.07,North,560037
380,2024-04-19, Bengaluru , North ,12.91295105633626,77.52257988285791,2.62,952,Commercial,7.9,13.98,23.16,North,560034
375,2025-10-25, Bengaluru , Bommanahalli ,13.106462432693139,77.7430363564137,15.06,933,Commercial,47.9,14.13,6.12,South,560078
92,2024-12-20, Bengaluru , Mahadevapura ,12.990869514100893,77.63708260289408,14.54,873,Institutional,51.1,0.55,26.18,East,560034
89,2024-08-19, Bengaluru , West ,13.083113225725135,77.74074467447817,9.73,925,Commercial,30.8,11.1,5.37,West,560078
453,2024-06-22, Bengaluru , West ,12.986751573361076,77.6141414386972,8.09,872,Residential,34.1,-2.52,-0.77,West,560034
602,2024-12-19, Bengaluru , RR Nagar ,12.986821108524905,77.5704605633925,14.62,963,Mixed Use,33.8,10.14,25.33,West,560037
366,2024-02-29, Bengaluru , West ,13.160341063477192,77.4936125108422,2.87,974,Mixed Use,34.7,1.79,12.96,West,560048
734,2024-04-28, Bengaluru , North ,13.104319781109576,77.57728531964841,2.87,875,Commercial,11.9,13.82,20.83,North,560001
319,2024-10-18, Bengaluru , Shivajinagar ,12.88586065346241,77.70987392225739,11.44,893,Commercial,41.4,-1.35,35.62,Central,560001
63,2024-05-11, Bengaluru , East ,13.130798700486782,77.62651972121415,3.21,883,Industrial,33.1,-2.02,17.68,East,560078
19,2024-09-22, Bengaluru , Hebbal ,12.92090598452091,77.6066348776072,9.37,930,Commercial,16.7,2.45,0.51,North,560037
287,2025-06-11, Bengaluru , RR Nagar ,13.041403834620587,77.62510789374853,5.01,946,Institutional,14.0,-2.68,24.22,West,560034
351,2025-06-27, Bengaluru , Shivajinagar ,12.912357732577513,77.59220913325983,9.63,862,Mixed Use,54.6,14.91,17.89,Central,560034
750,2024-09-30, Bengaluru , RR Nagar ,13.025921573043169,77.527908548383,15.42,934,Institutional,55.6,2.22,32.58,West,560078
745,2024-10-14, Bengaluru , South ,12.994218161623854,77.7923488097913,10.27,891,Industrial,6.2,8.34,17.56,South,560034
348,2024-11-09, Bengaluru , North ,13.178825292367433,77.51018416193781,4.33,866,Commercial,13.4,6.91,27.99,North,560034
618,2024-12-31, Bengaluru , Hebbal ,13.05330326021416,77.59712091058051,19.78,876,Commercial,17.9,8.82,34.31,North,560064
676,2025-04-21, Bengaluru , Mahadevapura ,12.967580880671662,77.6120442067135,6.98,945,Commercial,5.9,10.75,13.67,East,560048
23,2024-09-23, Bengaluru , Yelahanka ,12.873317887206062,77.75197123916885,8.44,956,Industrial,7.4,9.77,37.22,North,560037
661,2024-06-20, Bengaluru , East ,13.029943643391606,77.79715720582485,13.28,904,Institutional,34.6,3.49,15.94,East,560048
707,2024-03-01, Bengaluru , West ,13.125747459129148,77.54873250980725,14.43,914,Commercial,13.9,8.73,-2.48,West,560034
511,2025-03-30, Bengaluru , Shivajinagar ,12.97252317900669,77.47142687944422,10.46,888,,48.9,12.63,6.57,Central,560078
189,2024-09-25, Bengaluru , CV Raman Nagar ,13.10254647077413,77.63271515485884,6.37,886,,25.0,0.69,2.61,East,560076
236,2024-06-13, Bengaluru , Hebbal ,12.896840381610478,77.45450647912097,12.74,947,,58.5,-1.45,30.12,North,560048
420,2025-01-29, Bengaluru , Mahadevapura ,12.934043008024336,77.57943885050757,11.76,966,Residential,34.5,11.18,20.76,East,560034
740,2025-03-15, Bengaluru , CV Raman Nagar ,13.101203496576064,77.58890029817992,6.5,976,Residential,8.2,8.97,4.39,East,560064
700,2024-11-06, Bengaluru , Bommanahalli ,12.909340134793531,77.48245399480103,15.71,912,Industrial,37.5,8.36,2.67,South,560001
543,2024-03-31, Bengaluru , Yelahanka ,12.885770066219655,77.68586927577985,19.55,862,Mixed Use,11.7,1.38,28.08,North,560037
104,2024-11-12, Bengaluru , Mahadevapura ,12.936138860746002,77.5855748619116,16.0,909,Industrial,22.7,1.82,2.08,East,560001
316,2025-04-19, Bengaluru ,,12.870332726707028,77.59793198890364,15.74,911,Industrial,10.1,5.59,12.44,North,560076
228,2024-09-01, Bengaluru , Mahadevapura ,13.164585450378917,77.71005311637714,13.85,923,Mixed Use,20.1,-1.79,22.15,East,560064
242,2025-07-12, Bengaluru , Hebbal ,13.084746251275176,77.64596462928317,5.78,979,Mixed Use,43.9,10.24,25.23,North,560034
491,2025-04-11, Bengaluru , South ,12.858589158577395,77.49536536572265,17.79,918,Mixed Use,37.0,9.02,17.2,South,560048
674,2025-06-23, Bengaluru , Bommanahalli ,13.058300714851443,77.55314120068464,15.15,852,Residential,16.4,-0.56,17.49,South,560037
108,2024-03-24, Bengaluru , Shivajinagar ,12.970722580315112,77.63180988552047,-4.16,974,Commercial,47.9,4.67,37.59,Central,560037
93,2025-11-18, Bengaluru , Hebbal ,12.94257301387685,77.5319615117421,11.13,864,Commercial,18.6,-0.04,21.98,North,560001
442,2024-06-10, Bengaluru , Mahadevapura ,13.070729161892405,77.55945410877389,18.61,969,,24.2,-1.78,39.01,East,560102
440,2025-08-16,, Yelahanka ,12.859461161825635,77.63409347555675,6.04,938,Commercial,39.1,6.75,6.84,North,560001
718,2025-07-16, Bengaluru , East ,13.195945315321174,77.45275598467961,12.37,916,Commercial,26.3,9.93,36.22,East,560037
437,2025-04-03, Bengaluru , South ,13.069511533035753,77.60852340866917,4.34,911,Industrial,9.6,9.17,13.55,South,560102
344,2025-11-04, Bengaluru , Mahadevapura ,13.117531183018766,77.59877271705486,19.49,903,Commercial,18.7,7.28,35.54,East,560064
474,2025-11-25, Bengaluru , Yelahanka ,12.907581047098168,77.6973237301703,17.64,872,Mixed Use,12.9,12.58,26.71,North,560001
81,2025-12-06, Bengaluru , North ,12.971969905522117,77.56433107169424,17.25,932,Mixed Use,19.1,1.16,10.03,North,560048
697,2025-11-04, Bengaluru , North ,13.133872933636994,77.49841848642788,16.69,938,,32.9,1.57,35.61,North,560102
554,2024-01-22, Bengaluru , East ,12.85192883851844,77.73871656289388,10.46,977,Residential,43.1,8.29,-2.55,East,560064
369,2024-07-11, Bengaluru , West ,13.005968560790388,77.72758977462564,5.54,864,Residential,-6.0,12.91,28.45,West,560034
31,2025-04-30, Bengaluru ,,12.942945377768389,77.70526726331379,15.45,967,Mixed Use,108.4,2.17,-2.9,Central,560048
11,2024-01-28, Bengaluru , Mahadevapura ,13.075020978243378,77.48185369367651,11.57,892,Commercial,47.8,2.93,5.04,East,560048
29,2025-03-22, Bengaluru , Shivajinagar ,13.0011353856402,77.57723692850827,19.42,868,Commercial,13.3,-2.62,7.66,Central,560037
525,2024-03-16,, Mahadevapura ,12.878395392926635,77.51592232732627,18.6,872,Residential,12.7,3.86,31.25,East,560034
70,2024-02-27, Bengaluru , RR Nagar ,12.972616446451497,77.67596143523205,18.9,976,Residential,59.1,4.31,5.7,West,560001
158,2025-04-16, Bengaluru , North ,13.069003165907386,77.50402762585155,13.16,870,Residential,23.2,8.85,20.43,North,560078
347,2024-04-12, Bengaluru , East ,12.916484066519425,77.61626564044681,10.19,978,Residential,110.9,0.59,-3.28,East,560034
340,2025-06-17,, Dasarahalli ,12.930419192493034,77.48042527765459,10.44,911,Commercial,39.9,7.86,0.93,West,560076
258,2024-05-22, Bengaluru , West ,13.131272315311735,77.78095237696695,17.5,944,Commercial,5.9,5.25,27.57,West,560102
318,2025-04-02, Bengaluru , RR Nagar ,12.956870476910346,77.56350216735922,14.86,959,Institutional,5.9,12.25,24.16,West,560037
497,2024-03-04, Bengaluru , RR Nagar ,12.968370620428194,77.73767986748682,17.2,966,Industrial,41.0,6.71,34.32,West,560001
5,2025-08-31, Bengaluru , South ,12.8740670322924,77.48275859863043,14.7,866,,40.6,14.88,31.99,South,560064
711,2024-02-22, Bengaluru , Bommanahalli ,12.924329460307314,77.54006421467069,5.99,928,Institutional,22.7,-2.03,2.04,South,560037
199,2024-02-23, Bengaluru , RR Nagar ,13.176357781607498,77.67971264214178,4.97,937,Institutional,45.1,-2.85,-1.96,West,560076
117,2025-09-07, Bengaluru ,,13.062994519291797,77.6234181170646,6.11,899,Commercial,80.0,6.35,32.85,North,560001
205,2024-11-06, Bengaluru , West ,12.88095188863921,77.49889778468504,18.13,908,Industrial,67.8,14.41,10.49,West,560037
693,2024-01-06, Bengaluru , Bommanahalli ,13.169334873863548,77.68600226140191,10.19,927,Commercial,36.9,11.45,30.22,South,560037
175,2024-01-14,, RR Nagar ,13.078932366487635,77.55970285884743,14.93,934,Residential,12.8,10.81,-0.96,West,560076
702,2025-01-06, Bengaluru , West ,13.119389762926728,77.52164651193341,4.9,914,Institutional,52.6,5.44,3.16,West,560078
203,2024-06-06, Bengaluru , Hebbal ,13.042055750224417,77.52510307582591,14.14,909,Residential,13.6,2.24,24.47,North,560034
263,2024-03-13, Bengaluru , Yelahanka ,13.154658036667334,77.59703035969787,17.35,879,Mixed Use,37.2,11.42,35.44,North,560048
142,2024-03-13, Bengaluru , East ,12.89135686318295,77.74289258854866,14.47,875,Institutional,5.1,-2.11,14.19,East,560064
120,2025-06-27, Bengaluru , West ,12.935238234613829,77.48100516928952,5.44,929,Residential,110.4,10.3,6.76,West,560102
178,2024-07-28, Bengaluru , Yelahanka ,13.178911589176401,77.57796327887594,5.61,891,Industrial,18.3,14.68,17.45,North,560076
276,2025-04-11, Bengaluru , CV Raman Nagar ,12.896567529537394,77.75037171537731,12.26,866,Institutional,75.5,12.34,24.72,East,560076
404,2025-06-07, Bengaluru , CV Raman Nagar ,13.03121758643776,77.49812384848153,6.55,908,Mixed Use,10.1,5.6,34.13,East,560048
14,2025-03-20, Bengaluru , West ,13.13028824911384,77.79008005114376,9.52,871,Commercial,6.5,7.63,15.94,West,560037
249,2024-08-02, Bengaluru , Yelahanka ,13.079585991614705,77.70917428290021,3.71,867,Industrial,84.8,6.64,-1.69,North,560034
733,2025-04-12, Bengaluru , South ,12.97713233915065,77.65389569035047,18.02,954,Mixed Use,40.1,2.41,39.75,South,560078
346,2024-04-07, Bengaluru , RR Nagar ,13.13531274693813,77.60283749507407,19.17,898,Commercial,33.0,-0.32,4.95,West,560078
346,2024-04-07, Bengaluru , RR Nagar ,13.13531274693813,77.60283749507407,19.17,898,Commercial,33.0,-0.32,4.95,West,560078
385,2025-04-24, Bengaluru , East ,13.094275924787112,77.68882934529952,13.65,906,Commercial,36.7,13.02,37.53,East,560078
14,2025-03-20, Bengaluru , West ,13.13028824911384,77.79008005114376,9.52,871,Commercial,6.5,7.63,15.94,West,560037
541,2024-07-16, Bengaluru , North ,13.145973057772398,77.73370406985515,11.11,977,Residential,50.2,9.24,0.23,North,560078
568,2024-05-14, Bengaluru , CV Raman Nagar ,12.918298558801075,77.48733605677683,7.8,931,Commercial,8.5,-1.65,9.25,East,560037
642,2025-11-12, Bengaluru ,,12.99370643836729,77.60149739765464,16.19,973,Residential,23.0,6.51,23.02,West,560037
130,2025-08-08, Bengaluru , West ,12.947758000012238,77.66748984986967,17.4,967,Industrial,26.5,7.0,12.3,West,560076
91,2025-08-01, Bengaluru , East ,12.899140598518601,77.74096479990186,2.76,852,Residential,18.8,-1.17,1.42,East,560048
306,2025-09-08, Bengaluru , Shivajinagar ,13.109135556803286,77.4959042871227,9.09,913,Institutional,52.1,-1.44,33.31,Central,560001
127,2024-11-06, Bengaluru , West ,12.958676589361108,77.53478905608344,11.47,948,Mixed Use,35.8,12.51,5.73,West,560076
224,2025-10-14, Bengaluru , North ,12.865381454327885,77.54761639099551,14.07,955,Industrial,44.5,4.12,31.49,North,560034
164,2025-06-21, Bengaluru , South ,12.865226321189036,77.66132811251063,12.1,878,,18.3,3.38,26.23,South,560001
112,2025-01-18, Bengaluru , RR Nagar ,12.933460111786752,77.50010225787763,2.72,899,Commercial,17.1,13.81,34.0,West,560037
703,2024-06-17, Bengaluru , West ,12.860450831219485,77.74416212134597,12.34,877,Institutional,28.7,-0.0,35.32,West,560078
356,2025-06-15, Bengaluru , South ,12.945479545474669,77.74330137992888,2.79,870,,55.4,2.45,21.38,South,560034
335,2025-07-08, Bengaluru , Dasarahalli ,12.975221052369214,77.5674175885371,12.36,922,Institutional,25.3,-0.94,24.54,West,560076
454,2024-09-03, Bengaluru , Dasarahalli ,13.187270119555455,77.58095635161712,12.39,891,Institutional,49.1,13.67,-2.98,West,560064
720,2024-01-26, Bengaluru , Yelahanka ,13.078017578484275,77.68626969566624,14.44,969,Institutional,53.0,9.36,36.73,North,560064
729,2025-01-16, Bengaluru , RR Nagar ,12.897658158271723,77.61851543111395,6.52,967,Commercial,32.5,5.53,8.65,West,560001
328,2025-04-28, Bengaluru , Bommanahalli ,13.107988076769614,77.62068190713029,7.22,974,,23.6,4.56,38.1,South,560064
503,2025-02-25, Bengaluru , CV Raman Nagar ,13.133626081069844,77.47189193580601,7.45,969,Institutional,45.9,10.77,7.5,East,560078
73,2024-08-10, Bengaluru , RR Nagar ,12.90941935286767,77.76664588326692,6.05,890,Industrial,26.4,7.82,12.08,West,560102
3,2025-12-30, Bengaluru ,,12.922085549486765,77.68813999061362,8.0,966,Commercial,43.4,1.39,20.85,South,560102
574,2024-04-14, Bengaluru , West ,13.037783912577225,77.6554090453743,16.81,876,Industrial,7.9,9.07,33.33,West,560048
324,2024-06-05,, Shivajinagar ,13.156128763460455,77.79872335349438,18.41,963,Institutional,22.1,0.68,27.73,Central,560037
621,2025-01-22, Bengaluru , Hebbal ,13.044396551981002,77.68119548578821,16.29,932,Commercial,23.9,0.44,5.98,North,560102
13,2024-08-20, Bengaluru , Dasarahalli ,13.018928655746752,77.79483714897266,2.53,938,Residential,11.6,3.99,27.02,West,560048
266,2025-01-03, Bengaluru , South ,12.977717496042306,77.79918507246599,17.88,878,,27.3,4.57,-1.5,South,560102
67,2024-09-28, Bengaluru , Hebbal ,12.901168405458986,77.56579009791929,6.53,862,Institutional,40.2,14.71,21.36,North,560076
689,2024-10-12, Bengaluru , Mahadevapura ,12.907176744753494,77.62326512792488,17.48,897,Commercial,58.5,2.71,7.62,East,560001
428,2025-11-13, Bengaluru , North ,12.927570852518798,77.52763925283739,1.84,864,,55.6,11.18,12.53,North,560064
109,2024-12-12, Bengaluru , RR Nagar ,12.879279729795693,77.46784912617642,17.74,967,Residential,40.2,13.6,26.79,West,560034
741,2024-04-24, Bengaluru , West ,12.96302300568127,77.49092262542813,14.93,950,Commercial,22.4,12.88,14.37,West,560001
246,2024-11-29, Bengaluru , CV Raman Nagar ,12.994345542700914,77.45732396743632,18.01,934,,18.1,3.17,-1.43,East,560037
182,2024-05-23, Bengaluru , Mahadevapura ,12.858548436550477,77.48904547693711,2.66,927,Industrial,11.9,9.29,-0.94,East,560076
44,2024-04-25, Bengaluru , Yelahanka ,12.919107930833402,77.57527146142252,5.97,880,Mixed Use,27.5,5.03,16.74,North,560001
446,2025-08-03, Bengaluru ,,12.887001877717408,77.63948624538752,17.62,872,Institutional,-5.2,-0.75,34.85,East,560048
336,2024-04-26, Bengaluru , Mahadevapura ,13.184913320574038,77.57629891356669,5.33,900,Mixed Use,19.2,0.1,26.7,East,560037
309,2025-06-26, Bengaluru , Shivajinagar ,12.90617419207268,77.68935551041297,9.59,892,Mixed Use,56.3,7.14,-0.55,Central,560102
599,2025-06-30, Bengaluru , West ,12.957239542456827,77.64864326146814,3.2,889,Institutional,33.5,10.44,33.12,West,560102
305,2024-10-11, Bengaluru , Dasarahalli ,13.027769218981849,77.62528705596377,15.96,921,Industrial,57.3,5.51,0.34,West,560037
182,2024-05-23, Bengaluru , Mahadevapura ,12.858548436550477,77.48904547693711,2.66,927,Industrial,11.9,9.29,-0.94,East,560076
531,2024-04-01, Bengaluru ,,13.185493173962682,77.56093892706157,7.43,871,Residential,37.6,13.33,23.61,West,560076
43,2025-10-13, Bengaluru , Shivajinagar ,12.884805674661868,77.55512224945093,5.85,916,Institutional,59.9,14.93,7.54,Central,560076
357,2024-04-21, Bengaluru , Dasarahalli ,13.136243841847529,77.733714164655,16.47,872,,17.2,-1.53,-0.93,West,560048
634,2025-08-30, Bengaluru , South ,13.120060901461635,77.77117223465918,9.35,937,Mixed Use,19.9,3.68,21.69,South,560064
664,2024-07-12, Bengaluru , South ,13.071440405370371,77.46590462911082,13.19,963,Commercial,6.7,3.8,26.41,South,560001
438,2025-09-16, Bengaluru , East ,13.175396063270211,77.55073819974392,13.0,890,Commercial,49.8,1.26,15.06,East,560078
60,2024-02-14, Bengaluru , Mahadevapura ,12.868681091909673,77.77415873462505,18.32,891,Commercial,38.8,0.53,16.28,East,560048
472,2025-05-15, Bengaluru , Shivajinagar ,13.171435905973231,77.61410561320353,7.42,968,,26.6,2.79,38.21,Central,560034
295,2024-06-09, Bengaluru , South ,12.91384438537046,77.4903961498111,16.51,856,Mixed Use,20.1,6.39,-4.11,South,560076
601,2024-04-11, Bengaluru ,,12.97523439173949,77.73585607185247,9.34,876,,42.7,-0.97,13.77,West,560076
711,2024-02-22, Bengaluru , Bommanahalli ,12.924329460307314,77.54006421467069,5.99,928,Institutional,22.7,-2.03,2.04,South,560037
559,2024-05-24, Bengaluru , South ,13.03605985854252,77.58571171546842,8.17,940,Commercial,21.9,13.78,-4.29,South,560076
112,2025-01-18, Bengaluru , RR Nagar ,12.933460111786752,77.50010225787763,2.72,899,Commercial,17.1,13.81,34.0,West,560037
594,2024-07-17, Bengaluru ,,12.878146328618142,77.73621751445748,6.28,863,Institutional,53.5,10.5,6.54,South,560078
389,2025-02-16, Bengaluru , South ,13.005989032570966,77.53152611250765,5.68,966,Industrial,12.4,9.87,31.53,South,560034
439,2025-03-23, Bengaluru , North ,12.90007111483197,77.52972385340135,8.29,868,Mixed Use,30.4,14.42,34.58,North,560102
341,2024-01-24, Bengaluru , Dasarahalli ,12.905888787250458,77.55240378443192,18.6,872,Mixed Use,58.4,6.96,-4.75,West,560001
56,2025-09-26, Bengaluru ,,12.969005795936877,77.4654582852229,3.17,902,Industrial,25.4,8.18,-1.49,Central,560001
507,2025-08-21, Bengaluru , CV Raman Nagar ,13.135396022075398,77.74043834809652,16.76,918,Industrial,56.9,7.05,29.82,East,560037
557,2025-12-15,, Mahadevapura ,13.109002795193172,77.55329070954029,7.75,932,Industrial,59.9,8.17,11.47,East,560076
345,2024-05-04, Bengaluru , RR Nagar ,13.05252625491177,77.52621148571745,2.53,927,Commercial,38.1,8.27,0.65,West,560037
217,2025-10-04,, Dasarahalli ,12.914437113973381,77.54501821001196,8.84,907,Institutional,57.8,2.55,9.33,West,560048
461,2024-06-16, Bengaluru , West ,13.024071451292196,77.66075461024639,7.16,851,Industrial,45.0,1.22,33.17,West,560064
41,2024-01-23, Bengaluru , RR Nagar ,13.117291769113345,77.7314872437391,11.07,868,Institutional,58.5,1.47,-0.09,West,560037
643,2024-10-01, Bengaluru , Mahadevapura ,12.994672788231407,77.64501696210513,15.16,864,Institutional,5.1,2.17,13.6,East,560076
96,2024-10-23, Bengaluru , North ,12.991305395713468,77.62631221185998,11.36,902,Residential,22.4,2.39,21.39,North,560034
141,2025-05-02, Bengaluru , CV Raman Nagar ,12.906092921872064,77.58697597131673,9.17,876,Institutional,39.8,6.37,-4.19,East,560037
712,2024-12-04, Bengaluru , North ,12.907995922266586,77.48208576834683,15.67,919,Commercial,13.8,3.52,26.94,North,560064
179,2024-11-27, Bengaluru ,,13.08100985517118,77.45540277006405,18.49,939,,27.5,13.54,37.52,East,560048
177,2025-06-19, Bengaluru , North ,12.938520407327742,77.64534623001902,16.66,942,Commercial,58.8,13.87,23.11,North,560034
493,2024-11-08, Bengaluru ,,12.925929333060122,77.49841244042837,19.66,977,Institutional,56.7,4.04,20.07,East,560078
59,2025-02-10, Bengaluru , North ,12.979795268610395,77.62656207203932,7.46,893,Residential,46.4,11.26,31.21,North,560064
458,2025-01-12, Bengaluru , Mahadevapura ,12.89574605590098,77.64748017604447,11.59,860,Institutional,18.0,9.42,27.42,East,560037
477,2024-08-21, Bengaluru , RR Nagar ,12.977188999431572,77.58261810297769,10.87,865,Industrial,10.2,-0.32,39.9,West,560076
17,2025-09-15,, West ,12.910321349274707,77.6157225263617,12.24,933,Institutional,48.1,-1.09,20.21,West,560048
459,2025-08-01, Bengaluru , North ,12.980814418165187,77.6750439380966,18.57,944,Institutional,17.2,1.88,16.91,North,560034
701,2024-01-19, Bengaluru , Mahadevapura ,13.146181297265581,77.70568432356343,6.84,855,Commercial,27.3,-1.29,-4.38,East,560037
441,2025-05-27, Bengaluru , Bommanahalli ,12.854809362540731,77.69754464688215,2.93,949,Mixed Use,24.6,12.09,-4.26,South,560102
687,2025-08-18, Bengaluru , South ,13.00045626628004,77.53111441721748,18.87,934,Residential,36.0,2.05,34.16,South,560001
692,2024-03-14, Bengaluru , Mahadevapura ,12.939609574581993,77.70305731145974,9.89,876,Commercial,55.0,7.37,21.77,East,560034
460,2024-03-17, Bengaluru , Bommanahalli ,13.09150678105241,77.53949722109436,14.15,875,Commercial,54.0,5.6,6.6,South,560037
155,2025-07-18, Bengaluru , Bommanahalli ,12.938742479933671,77.47020272697836,16.55,953,Commercial,32.5,-0.17,8.48,South,560034
56,2024-09-30, Bengaluru ,,12.868951717804409,77.7144524391681,14.71,980,Mixed Use,34.6,10.75,36.09,Central,560048
638,2024-07-14, Bengaluru , West ,12.851369740363886,77.58576494550478,4.18,904,Industrial,38.4,14.14,38.76,West,560078
660,2025-10-06, Bengaluru , CV Raman Nagar ,13.169977331563532,77.57799480779808,14.27,934,Mixed Use,29.0,7.13,0.23,East,560102
520,2024-08-06, Bengaluru , RR Nagar ,13.082357086275955,77.73685675041222,11.75,865,Institutional,30.1,-2.88,-4.62,West,560001
418,2024-04-23, Bengaluru ,,12.978728130682054,77.6299372752512,19.14,957,Mixed Use,25.5,-1.45,24.26,East,560037
30,2025-10-14, Bengaluru , Yelahanka ,13.14253741992999,77.64548453627359,13.46,912,Residential,8.9,13.79,35.4,North,560034
635,2024-03-15, Bengaluru , RR Nagar ,12.85051301485711,77.49126965596959,19.28,855,Mixed Use,42.2,2.26,29.0,West,560064
401,2024-03-06, Bengaluru ,,13.09643714760292,77.70463951688517,2.78,974,Institutional,18.9,13.49,13.47,South,560064
670,2024-07-30, Bengaluru , CV Raman Nagar ,13.062596859821321,77.59912221365664,18.28,931,Institutional,12.0,4.37,17.91,East,560001
458,2025-01-12, Bengaluru , Mahadevapura ,12.89574605590098,77.64748017604447,11.59,860,Institutional,18.0,9.42,27.42,East,560037
430,2025-09-17, Bengaluru , Bommanahalli ,12.852189606455669,77.5736514342595,12.96,878,Industrial,44.5,11.69,1.4,South,560001
489,2024-07-07, Bengaluru , West ,13.113828237126015,77.53183808153733,16.49,896,Institutional,9.6,-1.68,17.2,West,560102
204,2024-07-07, Bengaluru , Bommanahalli ,12.890030471336724,77.73997320252013,18.66,868,Industrial,91.6,13.01,36.08,South,560048
372,2024-04-16, Bengaluru , North ,12.885762050929014,77.7060246594346,12.97,879,Mixed Use,59.3,10.65,-2.94,North,560078
33,2024-05-01, Bengaluru , West ,12.959086131619989,77.48004899157353,7.57,869,Mixed Use,26.3,13.5,36.87,West,560034
514,2024-09-29, Bengaluru , West ,13.112250950632303,77.72813337072067,11.99,863,Mixed Use,38.1,2.27,39.97,West,560078
681,2024-07-12, Bengaluru , Shivajinagar ,13.132491885543198,77.49962901524779,14.94,979,Industrial,5.0,6.53,19.3,Central,560064
619,2024-02-03,, CV Raman Nagar ,13.059686568271074,77.55857437072352,5.71,979,Residential,51.2,3.28,-1.03,East,560064
157,2024-02-26, Bengaluru , RR Nagar ,12.968534004851811,77.60354269409984,16.96,892,Residential,36.0,3.27,3.79,West,560034
573,2025-05-22, Bengaluru , Hebbal ,12.867236925956208,77.77790455767921,11.14,942,Institutional,9.0,7.73,38.3,North,560102
203,2024-06-06, Bengaluru , Hebbal ,13.042055750224417,77.52510307582591,14.14,909,Residential,13.6,2.24,24.47,North,560034
335,2025-07-08, Bengaluru , Dasarahalli ,12.975221052369214,77.5674175885371,12.36,922,Institutional,25.3,-0.94,24.54,West,560076
383,2024-01-07, Bengaluru , North ,13.14380328645927,77.76223689630655,4.66,871,Commercial,33.3,2.18,15.07,North,560102
530,2025-07-19, Bengaluru , Shivajinagar ,12.896869506194736,77.79869317338381,12.96,898,Industrial,44.9,9.0,6.46,Central,560102
373,2025-11-15, Bengaluru , Shivajinagar ,13.16329571130971,77.5366277450545,9.13,925,Institutional,23.2,6.77,36.78,Central,560078
258,2024-05-22, Bengaluru , West ,13.131272315311735,77.78095237696695,17.5,944,Commercial,5.9,5.25,27.57,West,560102
580,2024-06-28, Bengaluru ,,12.873603428207854,77.64045116785205,17.34,956,Mixed Use,108.8,13.64,20.03,North,560076
602,2024-12-19, Bengaluru , RR Nagar ,12.986821108524905,77.5704605633925,14.62,963,Mixed Use,33.8,10.14,25.33,West,560037
4,2024-10-21, Bengaluru ,,13.029176490726641,77.50773673627525,18.83,957,,47.1,7.31,34.4,South,560076
664,2024-07-12, Bengaluru , South ,13.071440405370371,77.46590462911082,13.19,963,Commercial,6.7,3.8,26.41,South,560001
56,2024-09-30, Bengaluru ,,12.868951717804409,77.7144524391681,14.71,980,Mixed Use,34.6,10.75,36.09,Central,560048
131,2025-05-26, Bengaluru , Yelahanka ,13.037905993360367,77.7310334216859,9.1,909,Industrial,51.4,12.09,38.14,North,560048
627,2025-10-10, Bengaluru ,,13.014437023217093,77.56695992311128,11.06,925,Residential,35.8,1.89,6.12,South,560078
625,2025-02-25, Bengaluru , South ,13.00151824709808,77.50340695873477,5.2,908,Institutional,11.9,0.35,27.21,South,560078
343,2025-02-09,,,13.003929202511301,77.7267609717613,8.59,974,,46.0,12.77,11.06,East,560048
429,2025-10-08, Bengaluru , Hebbal ,13.012355525791106,77.55008557208208,6.65,932,Institutional,51.9,11.69,16.98,North,560037
42,2025-11-29, Bengaluru , Mahadevapura ,13.095351299468962,77.74627798063815,3.99,860,,36.3,-2.32,27.18,East,560037
322,2024-05-10, Bengaluru ,,12.914693621191006,77.79475191639143,16.32,869,Industrial,17.2,14.07,7.07,West,560037
223,2024-07-10, Bengaluru , South ,13.016156890385396,77.66725051412222,9.55,916,Industrial,58.0,1.8,4.18,South,560102
329,2024-06-06, Bengaluru , East ,12.905229324275837,77.54832634941663,17.42,934,,8.0,4.63,1.86,East,560076
66,2024-10-16,, RR Nagar ,13.168616949858441,77.71923312609941,10.83,923,Residential,6.7,6.34,-0.58,West,560102
512,2025-11-11, Bengaluru , South ,13.088308556405885,77.48863629684293,1.61,877,Commercial,40.3,11.17,28.91,South,560076
